Date,Event,Type
01/11/2018,All Saints' Day,Holidays in Slovakia
17/11/2018,Fight for Freedom and Democracy Day,Holidays in Slovakia
24/12/2018,Christmas Eve,Holidays in Slovakia
25/12/2018,Christmas Day,Holidays in Slovakia
26/12/2018,St. Stephen's Day,Holidays in Slovakia
01/01/2016,New Year's Day,Holidays in Slovenia
08/02/2016,Prešeren Day,Holidays in Slovenia
27/03/2016,Easter Day,Holidays in Slovenia
28/03/2016,Easter Monday,Holidays in Slovenia
27/04/2016,Day of Uprising Against Occupation,Holidays in Slovenia
01/05/2016,Labor Day / May Day,Holidays in Slovenia
02/05/2016,Labour Day holiday,Holidays in Slovenia
15/05/2016,Whit Sunday,Holidays in Slovenia
25/06/2016,Statehood Day,Holidays in Slovenia
15/08/2016,Assumption of Mary,Holidays in Slovenia
17/08/2016,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Holidays in Slovenia
15/09/2016,Restoration of Primorska to the Motherland Day,Holidays in Slovenia
25/10/2016,Sovereignty Day,Holidays in Slovenia
31/10/2016,Reformation Day,Holidays in Slovenia
01/11/2016,Remembrance Day,Holidays in Slovenia
23/11/2016,Rudolf Maister Day,Holidays in Slovenia
25/12/2016,Christmas Day,Holidays in Slovenia
26/12/2016,Independence and Unity Day,Holidays in Slovenia
01/01/2017,New Year's Day,Holidays in Slovenia
02/01/2017,New Year,Holidays in Slovenia
08/02/2017,Prešeren Day,Holidays in Slovenia
16/04/2017,Easter Day,Holidays in Slovenia
17/04/2017,Easter Monday,Holidays in Slovenia
27/04/2017,Day of Uprising Against Occupation,Holidays in Slovenia
01/05/2017,Labor Day / May Day,Holidays in Slovenia
02/05/2017,Labour Day holiday,Holidays in Slovenia
04/06/2017,Whit Sunday,Holidays in Slovenia
25/06/2017,Statehood Day,Holidays in Slovenia
15/08/2017,Assumption of Mary,Holidays in Slovenia
17/08/2017,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Holidays in Slovenia
15/09/2017,Restoration of Primorska to the Motherland Day,Holidays in Slovenia
25/10/2017,Sovereignty Day,Holidays in Slovenia
31/10/2017,Reformation Day,Holidays in Slovenia
01/11/2017,Remembrance Day,Holidays in Slovenia
23/11/2017,Rudolf Maister Day,Holidays in Slovenia
25/12/2017,Christmas Day,Holidays in Slovenia
26/12/2017,Independence and Unity Day,Holidays in Slovenia
01/01/2018,New Year's Day,Holidays in Slovenia
08/02/2018,Prešeren Day,Holidays in Slovenia
01/04/2018,Easter Day,Holidays in Slovenia
02/04/2018,Easter Monday,Holidays in Slovenia
27/04/2018,Day of Uprising Against Occupation,Holidays in Slovenia
01/05/2018,Labor Day / May Day,Holidays in Slovenia
02/05/2018,Labour Day holiday,Holidays in Slovenia
20/05/2018,Whit Sunday,Holidays in Slovenia
25/06/2018,Statehood Day,Holidays in Slovenia
15/08/2018,Assumption of Mary,Holidays in Slovenia
17/08/2018,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Holidays in Slovenia
15/09/2018,Restoration of Primorska to the Motherland Day,Holidays in Slovenia
25/10/2018,Sovereignty Day,Holidays in Slovenia
31/10/2018,Reformation Day,Holidays in Slovenia
01/11/2018,Remembrance Day,Holidays in Slovenia
23/11/2018,Rudolf Maister Day,Holidays in Slovenia
25/12/2018,Christmas Day,Holidays in Slovenia
26/12/2018,Independence and Unity Day,Holidays in Slovenia
01/01/2016,New Year's Day,Holidays in San Marino
06/01/2016,Epiphany,Holidays in San Marino
05/02/2016,Feast of St Agatha,Holidays in San Marino
25/03/2016,Anniversary of the Arengo,Holidays in San Marino
25/03/2016,Good Friday,Holidays in San Marino
26/03/2016,Holy Saturday,Holidays in San Marino
27/03/2016,Daylight Saving Time starts,Holidays in San Marino
27/03/2016,Easter Sunday,Holidays in San Marino
28/03/2016,Easter Monday,Holidays in San Marino
01/04/2016,Investiture Ceremony of the Captains Regent 1,Holidays in San Marino
01/05/2016,Labour Day/May Day,Holidays in San Marino
26/05/2016,Corpus Christi,Holidays in San Marino
28/07/2016,Anniversary of the Fall of the Fascist Government,Holidays in San Marino
15/08/2016,Assumption of Mary,Holidays in San Marino
03/09/2016,The Feast of St Marinus and Republic Day,Holidays in San Marino
01/10/2016,Investiture Ceremony of the Captains Regent 2,Holidays in San Marino
30/10/2016,Daylight Saving Time ends,Holidays in San Marino
01/11/2016,All Saints' Day,Holidays in San Marino
02/11/2016,All Saints' Day,Holidays in San Marino
08/12/2016,Feast of the Immaculate Conception,Holidays in San Marino
24/12/2016,Christmas Eve,Holidays in San Marino
25/12/2016,Christmas Day,Holidays in San Marino
26/12/2016,Boxing Day,Holidays in San Marino
31/12/2016,New Year's Eve,Holidays in San Marino
01/01/2017,New Year's Day,Holidays in San Marino
06/01/2017,Epiphany,Holidays in San Marino
05/02/2017,Feast of St Agatha,Holidays in San Marino
25/03/2017,Anniversary of the Arengo,Holidays in San Marino
26/03/2017,Daylight Saving Time starts,Holidays in San Marino
01/04/2017,Investiture Ceremony of the Captains Regent 1,Holidays in San Marino
14/04/2017,Good Friday,Holidays in San Marino
15/04/2017,Holy Saturday,Holidays in San Marino
16/04/2017,Easter Sunday,Holidays in San Marino
17/04/2017,Easter Monday,Holidays in San Marino
01/05/2017,Labour Day/May Day,Holidays in San Marino
15/06/2017,Corpus Christi,Holidays in San Marino
28/07/2017,Anniversary of the Fall of the Fascist Government,Holidays in San Marino
15/08/2017,Assumption of Mary,Holidays in San Marino
03/09/2017,The Feast of St Marinus and Republic Day,Holidays in San Marino
01/10/2017,Investiture Ceremony of the Captains Regent 2,Holidays in San Marino
29/10/2017,Daylight Saving Time ends,Holidays in San Marino
01/11/2017,All Saints' Day,Holidays in San Marino
02/11/2017,All Saints' Day,Holidays in San Marino
08/12/2017,Feast of the Immaculate Conception,Holidays in San Marino
24/12/2017,Christmas Eve,Holidays in San Marino
25/12/2017,Christmas Day,Holidays in San Marino
26/12/2017,Boxing Day,Holidays in San Marino
31/12/2017,New Year's Eve,Holidays in San Marino
01/01/2018,New Year's Day,Holidays in San Marino
06/01/2018,Epiphany,Holidays in San Marino
05/02/2018,Feast of St Agatha,Holidays in San Marino
25/03/2018,Daylight Saving Time starts,Holidays in San Marino
25/03/2018,Anniversary of the Arengo,Holidays in San Marino
30/03/2018,Good Friday,Holidays in San Marino
31/03/2018,Holy Saturday,Holidays in San Marino
01/04/2018,Investiture Ceremony of the Captains Regent 1,Holidays in San Marino
01/04/2018,Easter Sunday,Holidays in San Marino
02/04/2018,Easter Monday,Holidays in San Marino
01/05/2018,Labour Day/May Day,Holidays in San Marino
31/05/2018,Corpus Christi,Holidays in San Marino
28/07/2018,Anniversary of the Fall of the Fascist Government,Holidays in San Marino
15/08/2018,Assumption of Mary,Holidays in San Marino
03/09/2018,The Feast of St Marinus and Republic Day,Holidays in San Marino
01/10/2018,Investiture Ceremony of the Captains Regent 2,Holidays in San Marino
28/10/2018,Daylight Saving Time ends,Holidays in San Marino
01/11/2018,All Saints' Day,Holidays in San Marino
02/11/2018,All Saints' Day,Holidays in San Marino
08/12/2018,Feast of the Immaculate Conception,Holidays in San Marino
24/12/2018,Christmas Eve,Holidays in San Marino
25/12/2018,Christmas Day,Holidays in San Marino
26/12/2018,Boxing Day,Holidays in San Marino
01/01/2016,New Year,Holidays in Senegal
28/03/2016,Easter Monday,Holidays in Senegal
04/04/2016,Independence Day,Holidays in Senegal
01/05/2016,Labour Day,Holidays in Senegal
05/05/2016,Ascension Day,Holidays in Senegal
08/05/2016,Mother's Day,Holidays in Senegal
16/05/2016,Whit Monday,Holidays in Senegal
19/06/2016,Father's Day,Holidays in Senegal
05/07/2016,Korité,Holidays in Senegal
15/08/2016,Assumption of Mary,Holidays in Senegal
13/09/2016,Tabaski,Holidays in Senegal
01/11/2016,All Saints' Day,Holidays in Senegal
12/12/2016,Maouloud,Holidays in Senegal
25/12/2016,Christmas Day,Holidays in Senegal
01/01/2017,New Year,Holidays in Senegal
04/04/2017,Independence Day,Holidays in Senegal
17/04/2017,Easter Monday,Holidays in Senegal
01/05/2017,Labour Day,Holidays in Senegal
14/05/2017,Mother's Day,Holidays in Senegal
25/05/2017,Ascension Day,Holidays in Senegal
05/06/2017,Whit Monday,Holidays in Senegal
18/06/2017,Father's Day,Holidays in Senegal
26/06/2017,Korité,Holidays in Senegal
15/08/2017,Assumption of Mary,Holidays in Senegal
02/09/2017,Tabaski,Holidays in Senegal
01/11/2017,All Saints' Day,Holidays in Senegal
01/12/2017,Maouloud,Holidays in Senegal
25/12/2017,Christmas Day,Holidays in Senegal
01/01/2018,New Year,Holidays in Senegal
02/04/2018,Easter Monday,Holidays in Senegal
04/04/2018,Independence Day,Holidays in Senegal
01/05/2018,Labour Day,Holidays in Senegal
10/05/2018,Ascension Day,Holidays in Senegal
13/05/2018,Mother's Day,Holidays in Senegal
21/05/2018,Whit Monday,Holidays in Senegal
15/06/2018,Korité,Holidays in Senegal
17/06/2018,Father's Day,Holidays in Senegal
15/08/2018,Assumption of Mary,Holidays in Senegal
22/08/2018,Tabaski,Holidays in Senegal
01/11/2018,All Saints' Day,Holidays in Senegal
21/11/2018,Maouloud,Holidays in Senegal
25/12/2018,Christmas Day,Holidays in Senegal
01/01/2016,New Year,Holidays in Somalia
01/05/2016,May Day,Holidays in Somalia
05/05/2016,Isra and Mi'raj,Holidays in Somalia
26/06/2016,Independence of British Somaliland,Holidays in Somalia
01/07/2016,Independence Day,Holidays in Somalia
05/07/2016,Eid al-Fitr,Holidays in Somalia
13/09/2016,Eid al-Adha,Holidays in Somalia
03/10/2016,Muharram,Holidays in Somalia
12/10/2016,Ashura,Holidays in Somalia
12/12/2016,The Prophet's Birthday,Holidays in Somalia
01/01/2017,New Year,Holidays in Somalia
24/04/2017,Isra and Mi'raj,Holidays in Somalia
01/05/2017,May Day,Holidays in Somalia
26/06/2017,Eid al-Fitr,Holidays in Somalia
26/06/2017,Independence of British Somaliland,Holidays in Somalia
01/07/2017,Independence Day,Holidays in Somalia
02/09/2017,Eid al-Adha,Holidays in Somalia
22/09/2017,Muharram,Holidays in Somalia
01/10/2017,Ashura,Holidays in Somalia
01/12/2017,The Prophet's Birthday,Holidays in Somalia
01/01/2018,New Year,Holidays in Somalia
13/04/2018,Isra and Mi'raj,Holidays in Somalia
01/05/2018,May Day,Holidays in Somalia
15/06/2018,Eid al-Fitr,Holidays in Somalia
26/06/2018,Independence of British Somaliland,Holidays in Somalia
01/07/2018,Independence Day,Holidays in Somalia
22/08/2018,Eid al-Adha,Holidays in Somalia
12/09/2018,Muharram,Holidays in Somalia
21/09/2018,Ashura,Holidays in Somalia
21/11/2018,The Prophet's Birthday,Holidays in Somalia
01/01/2016,New Year's Day,Holidays in Republic of Korea
07/02/2016,Seollal Holiday Day 1,Holidays in Republic of Korea
08/02/2016,Seollal Holiday Day 2,Holidays in Republic of Korea
09/02/2016,Seollal Holiday Day 3,Holidays in Republic of Korea
10/02/2016,Seollal Substitute Holiday,Holidays in Republic of Korea
01/03/2016,Independence Movement Day,Holidays in Republic of Korea
05/04/2016,Arbor Day,Holidays in Republic of Korea
05/05/2016,Children's Day,Holidays in Republic of Korea
06/05/2016,Temporary Holiday,Holidays in Republic of Korea
08/05/2016,Parents' Day,Holidays in Republic of Korea
14/05/2016,Buddha's Birthday,Holidays in Republic of Korea
06/06/2016,Memorial Day,Holidays in Republic of Korea
17/07/2016,Constitution Day,Holidays in Republic of Korea
15/08/2016,Liberation Day,Holidays in Republic of Korea
14/09/2016,Mid-Autumn Festival Day 1,Holidays in Republic of Korea
15/09/2016,Mid-Autumn Festival Day 2,Holidays in Republic of Korea
16/09/2016,Mid-Autumn Festival Day 3,Holidays in Republic of Korea
01/10/2016,Armed Forces Day,Holidays in Republic of Korea
03/10/2016,National Foundation Day,Holidays in Republic of Korea
09/10/2016,Hangeul Proclamation Day,Holidays in Republic of Korea
24/12/2016,Christmas Eve,Holidays in Republic of Korea
25/12/2016,Christmas Day,Holidays in Republic of Korea
31/12/2016,New Year's Eve,Holidays in Republic of Korea
01/01/2017,New Year's Day,Holidays in Republic of Korea
27/01/2017,Seollal Holiday Day 1,Holidays in Republic of Korea
28/01/2017,Seollal Holiday Day 2,Holidays in Republic of Korea
30/01/2017,Seollal Holiday Day 3,Holidays in Republic of Korea
01/03/2017,Independence Movement Day,Holidays in Republic of Korea
05/04/2017,Arbor Day,Holidays in Republic of Korea
03/05/2017,Buddha's Birthday,Holidays in Republic of Korea
05/05/2017,Children's Day,Holidays in Republic of Korea
08/05/2017,Parents' Day,Holidays in Republic of Korea
06/06/2017,Memorial Day,Holidays in Republic of Korea
17/07/2017,Constitution Day,Holidays in Republic of Korea
15/08/2017,Liberation Day,Holidays in Republic of Korea
01/10/2017,Armed Forces Day,Holidays in Republic of Korea
03/10/2017,Mid-Autumn Festival Day 1,Holidays in Republic of Korea
03/10/2017,National Foundation Day,Holidays in Republic of Korea
04/10/2017,Mid-Autumn Festival Day 2,Holidays in Republic of Korea
05/10/2017,Mid-Autumn Festival Day 3,Holidays in Republic of Korea
06/10/2017,Mid-Autumn Festival Day 4,Holidays in Republic of Korea
09/10/2017,Hangeul Proclamation Day,Holidays in Republic of Korea
24/12/2017,Christmas Eve,Holidays in Republic of Korea
25/12/2017,Christmas Day,Holidays in Republic of Korea
31/12/2017,New Year's Eve,Holidays in Republic of Korea
01/01/2018,New Year's Day,Holidays in Republic of Korea
09/02/2018,2018 Winter Olympics start,Holidays in Republic of Korea
15/02/2018,Seollal Holiday Day 1,Holidays in Republic of Korea
16/02/2018,Seollal Holiday Day 2,Holidays in Republic of Korea
17/02/2018,Seollal Holiday Day 3,Holidays in Republic of Korea
25/02/2018,2018 Winter Olympics end,Holidays in Republic of Korea
01/03/2018,Independence Movement Day,Holidays in Republic of Korea
09/03/2018,2018 Winter Paralympics start,Holidays in Republic of Korea
18/03/2018,2018 Winter Paralympics end,Holidays in Republic of Korea
05/04/2018,Arbor Day,Holidays in Republic of Korea
13/04/2018,National Assembly Election Day,Holidays in Republic of Korea
05/05/2018,Children's Day,Holidays in Republic of Korea
08/05/2018,Parents' Day,Holidays in Republic of Korea
22/05/2018,Buddha's Birthday,Holidays in Republic of Korea
06/06/2018,Memorial Day,Holidays in Republic of Korea
17/07/2018,Constitution Day,Holidays in Republic of Korea
15/08/2018,Liberation Day,Holidays in Republic of Korea
23/09/2018,Mid-Autumn Festival Day 1,Holidays in Republic of Korea
24/09/2018,Mid-Autumn Festival Day 2,Holidays in Republic of Korea
25/09/2018,Mid-Autumn Festival Day 3,Holidays in Republic of Korea
01/10/2018,Armed Forces Day,Holidays in Republic of Korea
03/10/2018,National Foundation Day,Holidays in Republic of Korea
09/10/2018,Hangeul Proclamation Day,Holidays in Republic of Korea
24/12/2018,Christmas Eve,Holidays in Republic of Korea
25/12/2018,Christmas Day,Holidays in Republic of Korea
01/01/2016,New Year's Day,Holidays in Spain
01/01/2016,Feast of the Holy Family,Holidays in Spain
06/01/2016,Epiphany,Holidays in Spain
22/01/2016,Martyr Vicente's Feast (Valencia),Holidays in Spain
29/01/2016,St. Valero's Feast (Zaragoza),Holidays in Spain
10/02/2016,Ash Wednesday,Holidays in Spain
28/02/2016,Day of Andalucía (Andalusia),Holidays in Spain
29/02/2016,Day of Andalucía (observed) (Andalusia),Holidays in Spain
01/03/2016,Day of the Balearic Islands (Balearic Islands),Holidays in Spain
05/03/2016,Fifth of March (Zaragoza),Holidays in Spain
19/03/2016,San Jose (regional holiday),Holidays in Spain
20/03/2016,Palm Sunday,Holidays in Spain
24/03/2016,Maundy Thursday (regional holiday),Holidays in Spain
25/03/2016,Good Friday,Holidays in Spain
27/03/2016,Daylight Saving Time starts,Holidays in Spain
28/03/2016,Easter Monday (regional holiday),Holidays in Spain
23/04/2016,Day of Aragón (Aragon),Holidays in Spain
23/04/2016,Castile and León Day (Castile-Leon),Holidays in Spain
23/04/2016,St George's Day (Catalonia),Holidays in Spain
01/05/2016,Labor Day / May Day,Holidays in Spain
01/05/2016,Mothers' Day,Holidays in Spain
02/05/2016,Labor Day observed (regional holiday),Holidays in Spain
02/05/2016,Day of Madrid (Madrid),Holidays in Spain
15/05/2016,Whit Sunday/Pentecost,Holidays in Spain
15/05/2016,Feast Day of St Isidore (Madrid),Holidays in Spain
16/05/2016,Whit Monday (Barcelona),Holidays in Spain
17/05/2016,Galicia Literature Day (Galicia),Holidays in Spain
26/05/2016,Corpus Christi (regional holiday),Holidays in Spain
30/05/2016,Day of the Canary Islands (Canary Islands),Holidays in Spain
31/05/2016,Canaries day observed (Canary Islands),Holidays in Spain
31/05/2016,Day of Castile-La Mancha (Castile-La Mancha),Holidays in Spain
09/06/2016,Day of Murcia (Murcia),Holidays in Spain
09/06/2016,Day of La Rioja (La Rioja),Holidays in Spain
13/06/2016,San Antonio (Ceuta),Holidays in Spain
24/06/2016,Saint John the Baptist Day (regional holiday),Holidays in Spain
25/07/2016,Feast of Saint James the Apostle (regional holiday),Holidays in Spain
28/07/2016,Day of the Institutions (Cantabria),Holidays in Spain
05/08/2016,The Day of Our Lady of Africa (Ceuta),Holidays in Spain
14/08/2016,The Day of Cantabria (Cantabria),Holidays in Spain
15/08/2016,Assumption of Mary,Holidays in Spain
02/09/2016,Day of the Independent City of Ceuta (Ceuta),Holidays in Spain
08/09/2016,Day of Asturias (Asturias),Holidays in Spain
08/09/2016,Day of Extremadura (Extremadura),Holidays in Spain
08/09/2016,Virgin of the Victory (Melilla),Holidays in Spain
11/09/2016,Day of Catalonia (Catalonia),Holidays in Spain
12/09/2016,Eid-al-Adha (Melilla),Holidays in Spain
13/09/2016,Eid-al-Adha (Ceuta),Holidays in Spain
15/09/2016,Nuestra Señora de la Bien Aparecida (Cantabria),Holidays in Spain
17/09/2016,Day of Melilla (Melilla),Holidays in Spain
07/10/2016,80th anniversary of the constitution of the Basque Government in Guernica (Basque Country),Holidays in Spain
09/10/2016,Day of the Valencian Community (Valencia),Holidays in Spain
12/10/2016,Hispanic Day,Holidays in Spain
30/10/2016,Daylight Saving Time ends,Holidays in Spain
01/11/2016,All Saints' Day (regional holiday),Holidays in Spain
03/12/2016,Day of Navarre (Navarre),Holidays in Spain
06/12/2016,Constitution Day (regional holiday),Holidays in Spain
08/12/2016,Immaculate Conception,Holidays in Spain
24/12/2016,Christmas Eve,Holidays in Spain
25/12/2016,Christmas Day,Holidays in Spain
26/12/2016,Christmas Day observed (regional holiday),Holidays in Spain
26/12/2016,St Stephen's Day (regional holiday),Holidays in Spain
31/12/2016,New Year's Eve,Holidays in Spain
01/01/2017,New Year's Day,Holidays in Spain
01/01/2017,Feast of the Holy Family,Holidays in Spain
02/01/2017,New Year's Day (regional holiday),Holidays in Spain
06/01/2017,Epiphany,Holidays in Spain
28/02/2017,Day of Andalucía (Andalusia),Holidays in Spain
01/03/2017,Day of the Balearic Islands (Balearic Islands),Holidays in Spain
01/03/2017,Ash Wednesday,Holidays in Spain
06/03/2017,Fifth of March (Zaragoza),Holidays in Spain
17/03/2017,Martyr Vicente's Feast (Valencia),Holidays in Spain
19/03/2017,San Jose (regional holiday),Holidays in Spain
20/03/2017,San Jose (regional holiday),Holidays in Spain
26/03/2017,Daylight Saving Time starts,Holidays in Spain
09/04/2017,Palm Sunday,Holidays in Spain
13/04/2017,Maundy Thursday (regional holiday),Holidays in Spain
14/04/2017,Good Friday,Holidays in Spain
17/04/2017,Easter Monday (regional holiday),Holidays in Spain
23/04/2017,St George's Day (Catalonia),Holidays in Spain
24/04/2017,Day of Aragón (Aragon),Holidays in Spain
24/04/2017,Castile and León Day (Castile-Leon),Holidays in Spain
01/05/2017,Labor Day / May Day,Holidays in Spain
02/05/2017,Day of Madrid (Madrid),Holidays in Spain
07/05/2017,Mothers' Day,Holidays in Spain
15/05/2017,Feast Day of St Isidore (Madrid),Holidays in Spain
17/05/2017,Galicia Literature Day (Galicia),Holidays in Spain
30/05/2017,Day of the Canary Islands (Canary Islands),Holidays in Spain
31/05/2017,Canaries day observed (Canary Islands),Holidays in Spain
31/05/2017,Day of Castile-La Mancha (Castile-La Mancha),Holidays in Spain
04/06/2017,Whit Sunday/Pentecost,Holidays in Spain
05/06/2017,Whit Monday (Barcelona),Holidays in Spain
09/06/2017,Day of Murcia (Murcia),Holidays in Spain
09/06/2017,Day of La Rioja (La Rioja),Holidays in Spain
13/06/2017,San Antonio (Ceuta),Holidays in Spain
15/06/2017,Corpus Christi (regional holiday),Holidays in Spain
24/06/2017,Saint John the Baptist Day (Catalonia),Holidays in Spain
25/07/2017,Feast of Saint James the Apostle (regional holiday),Holidays in Spain
28/07/2017,Day of the Institutions (Cantabria),Holidays in Spain
05/08/2017,The Day of Our Lady of Africa (Ceuta),Holidays in Spain
13/08/2017,The Day of Cantabria (Cantabria),Holidays in Spain
15/08/2017,Assumption of Mary,Holidays in Spain
02/09/2017,Day of the Independent City of Ceuta (Ceuta),Holidays in Spain
02/09/2017,Eid-al-Adha (Ceuta),Holidays in Spain
08/09/2017,Day of Asturias (Asturias),Holidays in Spain
08/09/2017,Day of Extremadura (Extremadura),Holidays in Spain
08/09/2017,Virgin of the Victory (Melilla),Holidays in Spain
11/09/2017,Day of Catalonia (Catalonia),Holidays in Spain
12/09/2017,Eid-al-Adha (Melilla),Holidays in Spain
15/09/2017,Nuestra Señora de la Bien Aparecida (Cantabria),Holidays in Spain
17/09/2017,Day of Melilla (Melilla),Holidays in Spain
09/10/2017,Day of the Valencian Community (Valencia),Holidays in Spain
12/10/2017,Hispanic Day,Holidays in Spain
13/10/2017,St. Valero's Feast (Zaragoza),Holidays in Spain
29/10/2017,Daylight Saving Time ends,Holidays in Spain
01/11/2017,All Saints' Day (regional holiday),Holidays in Spain
04/12/2017,Day of Navarre (Navarre),Holidays in Spain
06/12/2017,Constitution Day (regional holiday),Holidays in Spain
08/12/2017,Immaculate Conception,Holidays in Spain
24/12/2017,Christmas Eve,Holidays in Spain
25/12/2017,Christmas Day,Holidays in Spain
26/12/2017,St Stephen's Day (regional holiday),Holidays in Spain
31/12/2017,New Year's Eve,Holidays in Spain
01/01/2018,New Year's Day,Holidays in Spain
01/01/2018,Feast of the Holy Family,Holidays in Spain
06/01/2018,Epiphany,Holidays in Spain
29/01/2018,St. Valero's Feast (Zaragoza),Holidays in Spain
14/02/2018,Ash Wednesday,Holidays in Spain
28/02/2018,Day of Andalucía (Andalusia),Holidays in Spain
01/03/2018,Day of the Balearic Islands (Balearic Islands),Holidays in Spain
05/03/2018,Fifth of March (Zaragoza),Holidays in Spain
19/03/2018,San Jose (regional holiday),Holidays in Spain
25/03/2018,Daylight Saving Time starts,Holidays in Spain
25/03/2018,Palm Sunday,Holidays in Spain
29/03/2018,Maundy Thursday (regional holiday),Holidays in Spain
30/03/2018,Good Friday,Holidays in Spain
02/04/2018,Easter Monday (regional holiday),Holidays in Spain
23/04/2018,Day of Aragón (Aragon),Holidays in Spain
23/04/2018,Castile and León Day (Castile-Leon),Holidays in Spain
23/04/2018,St George's Day (Catalonia),Holidays in Spain
01/05/2018,Labor Day / May Day,Holidays in Spain
02/05/2018,Day of Madrid (Madrid),Holidays in Spain
06/05/2018,Mothers' Day,Holidays in Spain
15/05/2018,Feast Day of St Isidore (Madrid),Holidays in Spain
17/05/2018,Galicia Literature Day (Galicia),Holidays in Spain
20/05/2018,Whit Sunday/Pentecost,Holidays in Spain
21/05/2018,Whit Monday (Barcelona),Holidays in Spain
30/05/2018,Day of the Canary Islands (Canary Islands),Holidays in Spain
31/05/2018,Canaries day observed (Canary Islands),Holidays in Spain
31/05/2018,Day of Castile-La Mancha (Castile-La Mancha),Holidays in Spain
31/05/2018,Corpus Christi (Madrid),Holidays in Spain
09/06/2018,Day of Murcia (Murcia),Holidays in Spain
09/06/2018,Day of La Rioja (La Rioja),Holidays in Spain
13/06/2018,San Antonio (Ceuta),Holidays in Spain
24/06/2018,Saint John the Baptist Day (Catalonia),Holidays in Spain
25/07/2018,Feast of Saint James the Apostle (regional holiday),Holidays in Spain
28/07/2018,Day of the Institutions (Cantabria),Holidays in Spain
05/08/2018,The Day of Our Lady of Africa (Ceuta),Holidays in Spain
12/08/2018,The Day of Cantabria (Cantabria),Holidays in Spain
15/08/2018,Assumption of Mary,Holidays in Spain
22/08/2018,Eid-al-Adha (Ceuta),Holidays in Spain
02/09/2018,Day of the Independent City of Ceuta (Ceuta),Holidays in Spain
08/09/2018,Day of Asturias (Asturias),Holidays in Spain
08/09/2018,Day of Extremadura (Extremadura),Holidays in Spain
08/09/2018,Virgin of the Victory (Melilla),Holidays in Spain
11/09/2018,Day of Catalonia (Catalonia),Holidays in Spain
12/09/2018,Eid-al-Adha (Melilla),Holidays in Spain
15/09/2018,Nuestra Señora de la Bien Aparecida (Cantabria),Holidays in Spain
17/09/2018,Day of Melilla (Melilla),Holidays in Spain
09/10/2018,Day of the Valencian Community (Valencia),Holidays in Spain
12/10/2018,Hispanic Day,Holidays in Spain
28/10/2018,Daylight Saving Time ends,Holidays in Spain
01/11/2018,All Saints' Day (regional holiday),Holidays in Spain
03/12/2018,Day of Navarre (Navarre),Holidays in Spain
06/12/2018,Constitution Day (regional holiday),Holidays in Spain
08/12/2018,Immaculate Conception,Holidays in Spain
24/12/2018,Christmas Eve,Holidays in Spain
25/12/2018,Christmas Day,Holidays in Spain
26/12/2018,St Stephen's Day (regional holiday),Holidays in Spain
01/01/2016,New Year,Holidays in Suriname
08/02/2016,Chinese New Year,Holidays in Suriname
25/02/2016,Revolution Day,Holidays in Suriname
23/03/2016,Holi Phagwa,Holidays in Suriname
25/03/2016,Good Friday,Holidays in Suriname
28/03/2016,Easter Monday,Holidays in Suriname
01/05/2016,Labor Day,Holidays in Suriname
01/07/2016,Freedom Day,Holidays in Suriname
05/07/2016,Eid al-Fitr,Holidays in Suriname
09/08/2016,Indigenous Peoples Day,Holidays in Suriname
13/09/2016,Eid al-Adha,Holidays in Suriname
10/10/2016,Day of the Maroons,Holidays in Suriname
30/10/2016,Diwali,Holidays in Suriname
25/11/2016,Independence Day,Holidays in Suriname
25/12/2016,Christmas Day,Holidays in Suriname
26/12/2016,Boxing Day,Holidays in Suriname
01/01/2017,New Year,Holidays in Suriname
25/02/2017,Revolution Day,Holidays in Suriname
12/03/2017,Holi Phagwa,Holidays in Suriname
14/04/2017,Good Friday,Holidays in Suriname
17/04/2017,Easter Monday,Holidays in Suriname
01/05/2017,Labor Day,Holidays in Suriname
26/06/2017,Eid al-Fitr,Holidays in Suriname
01/07/2017,Freedom Day,Holidays in Suriname
10/08/2017,Indigenous Peoples Day,Holidays in Suriname
02/09/2017,Eid al-Adha,Holidays in Suriname
10/10/2017,Day of the Maroons,Holidays in Suriname
19/10/2017,Diwali,Holidays in Suriname
25/11/2017,Independence Day,Holidays in Suriname
25/12/2017,Christmas Day,Holidays in Suriname
26/12/2017,Boxing Day,Holidays in Suriname
01/01/2018,New Year,Holidays in Suriname
25/02/2018,Revolution Day,Holidays in Suriname
02/03/2018,Holi Phagwa,Holidays in Suriname
30/03/2018,Good Friday,Holidays in Suriname
02/04/2018,Easter Monday,Holidays in Suriname
01/05/2018,Labor Day,Holidays in Suriname
15/06/2018,Eid al-Fitr,Holidays in Suriname
01/07/2018,Freedom Day,Holidays in Suriname
09/08/2018,Indigenous Peoples Day,Holidays in Suriname
22/08/2018,Eid al-Adha,Holidays in Suriname
10/10/2018,Day of the Maroons,Holidays in Suriname
07/11/2018,Diwali,Holidays in Suriname
25/11/2018,Independence Day,Holidays in Suriname
25/12/2018,Christmas Day,Holidays in Suriname
26/12/2018,Boxing Day,Holidays in Suriname
01/01/2016,New Year,Holidays in South Sudan
09/01/2016,Peace Agreement Day,Holidays in South Sudan
14/02/2016,Valentine's Day,Holidays in South Sudan
08/03/2016,International Women's Day,Holidays in South Sudan
